feeling,hex
better,FFA401
bad,07548A
good,FFF700
right,E97802
guilty,004E6F
sick,2E9127
same,017E94
shit,00553A
sorry,00696F
well,E6C637
down,18213E
alone,595884
happy,FF7F00
great,FFD801
comfortable,40B6B8
sad,043F69
free,7EC31B
lost,14872
stupid,27975
tired,273E67
weird,F70059
lonely,08468F
old,352C65
home,263D67
ill,11581C
horrible,E4010A
off,0A3B8A
different,EA3137
whole,FE992D
pretty,F44387
safe,3688BA
done,1B2958
special,F30263
wrong,73207C
empty,3A4AA1
loved,F30172
worse,243C96
depressed,283152
fine,99D013
new,99CF15
hurt,235C93
terrible,99001E
best,FFFF4F
close,274784
real,41A84D
confident,FF7F00
uncomfortable,1E3869
lucky,FED73C
awful,CB1F13
crying,992F93
shitty,00744E
missing,015B5C
accomplished,FEA53F
big,FF6600
cold,3FB6BA
complete,B2DB11
first,FDD93B
head,FDD93D
alive,64B822
used,552966
important,E6AB0F
crappy,00734E
hard,4A688C
ok,FF7F1C
ready,FB9A27
able,C36619
okay,F1B62A
wanted,E4302F
fat,FD0100
sure,E49202
lazy,4E5F7B
nice,FD9927
strong,FFB200
stuck,0B4FA0
compelled,017C8C
blessed,187429
strange,F30157
awkward,2D6E8A
warm,FF4B02
certain,FE9901
weak,196C62
overwhelmed,263F67
normal,84892
proud,FFB300
helpless,26874
full,A5238D
stressed,9256A0
behind,312675
mean,950125
dumb,2C558B
hot,FF1A00
dead,C80027
deep,41B3BD
trapped,7C5081
true,FFD93C
crazy,F3026D
angry,E0192C
dirty,034E6D
small,28669F
drained,394378
useless,7D1842
low,3A578F
ashamed,9C0047
both,B2DB11
nervous,28ADCE
high,B2DC10
obligated,11581C
huge,E4010A
numb,E49202
young,00744E
miserable,FF7F1C
baby,FFA401
closer,99D013
upset,FFF700
silly,950125
relaxed,FED73C
morning,263F67
cool,FFFF4F
bored,312675
gross,015B5C
scared,FF7F1C
worthless,40B6B8
confused,73207C
walking,196C62
man,00744E
blah,B2DC10
dizzy,FFF700
wonderful,99001E
needed,273E67
eating,73207C
odd,FFFF4F
playing,FFFF4F
sleepy,14872
skin,552966
excited,FE9829
amazing,00734E
whatever,FF7F00
light,E49202
knowing,4E5F7B
productive,FD9927
selfish,FED73C
exhausted,004E6F
relieved,18213E
funny,004E6F
fun,034E6D
beautiful,3FB6BA
human,99D013
happier,18213E
alright,FFFF4F
wasting,015B5C
content,A5238D
growing,EA3137
ugly,18213E
hungry,F30157
secure,00744E
broken,E4010A
changed,FE9901
super,08468F
frustrated,0A3B8A
missed,08468F
grown,263D67
open,FF7F00
icky,40B6B8
connected,263D67
refreshed,F30263
awesome,015B5C
wasted,043F69
anxious,595884
blue,28ADCE
fit,0A3B8A
insecure,E4010A
inspired,F44387
seen,E4302F
older,F70059
pathetic,FEA53F
drunk,3A4AA1
afraid,FDD93D
known,FFB200
found,00553A
calm,7D1842
positive,243C96
sharing,0A3B8A
worst,B2DC10
necessary,00553A
turned,FFFF4F
slipping,00553A
nauseous,015B5C
mad,F44387
cut,FFB300
responsible,99D013
side,1E3869
disappointed,E97802
emotional,2D6E8A
awake,017C8C
inadequate,FFF700
waste,1E3869
current,7EC31B
motivated,FDBF2C
lame,18213E
disconnected,07548A
entire,235C93
creative,27975
short,4A688C
future,FF7F00
hopeless,FF6600
satisfied,1E3869
million,F30157
driving,00696F
perfect,352C65
power,FF7F1C
holding,552966
boring,0A3B8A
fool,0A3B8A
changing,C36619
isolated,E4010A
breaking,FEA53F
late,FB9A27
ago,9C0047
naked,27975
smart,07548A
rambling,FB9A27
uneasy,043F69
jealous,27975
beat,E97802
heavy,28669F
set,FF6600
dancing,263F67
welcome,00553A
happening,FF6600
restless,14872
busy,FD9927
pissed,FF7F00
torn,FEA740
distant,EA3137
vulnerable,F1B62A
personal,FD9927
clean,283152
turning,015B5C
embarrassed,017E94
standing,7D1842
beginning,2C558B
failed,950125
fucked,595884
obliged,FFB200
spent,F30263
express,26874
optimistic,73207C
sore,F3026D
deal,28ADCE
tried,26874
burning,FE992D
random,7D1842
darn,273E67
disgusting,FB9A27
healthy,73207C
nostalgic,73207C
wearing,F30263
social,3A4AA1
sexy,283152
learned,552966
fast,196C62
bleeding,99D013
rested,7D1842
killing,E6AB0F
glad,F30263
rusty,2D6E8A
middle,2C558B
asking,41B3BD
prepared,FE9901
justified,1B2958
absolute,00734E
extra,312675
inclined,FD0100
violated,FEA53F
ripped,17977
dark,00744E
fortunate,2D6E8A
biggest,FFD801
burnt,4A688C
hanging,18213E
fake,CB1F13
worried,00744E
abandoned,FD0100
easy,08468F
honest,28669F
due,7C5081
general,FF7F1C
pulled,FD9927
group,28669F
drinking,C80027
threatened,FF6600
won,1B2958
possible,73207C
lying,FF7F00
interesting,FE9901
bitter,E49202
unloved,017E94
poor,FE9901
building,034E6D
akin,FFD93C
sound,FFFF4F
grateful,283152
annoyed,C36619
slow,187429
weather,3A578F
forgotten,017E94
major,7EC31B
fly,352C65
lousy,9256A0
neglected,235C93
insane,EA3137
floating,E6AB0F
written,243C96
involved,FE9901
inferior,015B5C
moved,263D67
unhappy,FF7F1C
vital,FED73C
ignored,FED73C
cramped,40B6B8
clear,595884
honored,FDD93D
fair,00734E
forced,11581C
rejected,F3026D
forward,00744E
grab,3A4AA1
faint,64B822
negative,26874
worked,273E67
party,F30157
utter,99001E
easier,034E6D
fantastic,2C558B
serious,FFB200
unwanted,84892
foolish,274784
heard,FEA53F
fresh,11581C
pushing,FDBF2C
pushed,FDD93B
useful,F1B62A
particular,FB9A27
across,FF7F00
retarded,00553A
giddy,9C0047
rush,235C93
paper,9256A0
ridiculous,73207C
fighting,F30172
minute,00734E
appreciated,004E6F
drifting,99D013
level,2E9127
intense,FF7F00
sweet,187429
tiny,2E9127
evil,FE9901
black,FFF700
yucky,41B3BD
invisible,4A688C
worn,07548A
bloated,FF7F1C
rich,595884
homesick,0A3B8A
further,004E6F
rushed,FDD93D
gay,CB1F13
worthy,312675
appropriate,FFB300
soft,3A4AA1
choice,F44387
early,28669F
burst,18213E
passing,E6C637
powerful,E0192C
deprived,312675
rough,17977
straight,0A3B8A
screwed,FB9A27
pressured,394378
singing,043F69
queasy,3A578F
lifted,263D67
front,2E9127
incomplete,FFF700
spring,FF7F00
adult,2E9127
sudden,1E3869
desperate,84892
broke,3FB6BA
country,283152
hollow,9256A0
detached,FFB300
defeated,B2DC10
state,C36619
conscious,73207C
blame,FFB300
lethargic,07548A
powerless,7C5081
disgusted,2E9127
constant,FE9901
bigger,273E67
annoying,017E94
spoiled,394378
tight,0A3B8A
cheating,004E6F
similar,F1B62A
shut,595884
slight,C36619
interested,FDD93D
bottomed,99D013
kept,004E6F
natural,0B4FA0
younger,41A84D
bottom,017E94
decent,3A578F
winter,7C5081
shy,FF7F1C
peaceful,7C5081
accepted,FFD93C
exact,26874
acting,9C0047
difficult,283152
non,41A84D
tense,00734E
energetic,1E3869
lacking,08468F
subject,00744E
ground,84892
ahead,FF7F1C
attached,00744E
loving,004E6F
settled,28669F
sister,CB1F13
thankful,27975
wet,FB9A27
capable,FF7F1C
pointless,00734E
physical,7D1842
usual,C36619
familiar,7C5081
liked,FB9A27
blank,14872
loose,00734E
laughing,18213E
otherwise,263D67
empowered,235C93
english,0A3B8A
present,E4302F
anti,C80027
drawn,14872
stopped,FFA401
cute,274784
incredible,84892
hopeful,7D1842
pure,FF7F00
large,043F69
failing,FD9927
static,FFA401
cheap,F44387
white,196C62
superior,2E9127
fulfilled,EA3137
panic,00734E
groggy,F30263
complaining,2E9127
mixed,1B2958
paranoid,A5238D
greatest,263F67
shot,FFA401
actual,FF7F00
common,FD0100
giant,FD9927
treated,99CF15
quiet,F30172
cutting,034E6D
dread,FB9A27
closest,64B822
simple,11581C
nauseated,FFD93C
war,FEA53F
mature,00744E
crushed,FED73C
finished,950125
unprepared,E0192C
allowed,235C93
closing,C80027
pleased,E97802
intimidated,FE992D
rotten,243C96
woozy,015B5C
filled,E4010A
liberated,2D6E8A
ended,7EC31B
attractive,CB1F13
red,FFB200
public,00744E
meaning,283152
lower,FF6600
extreme,3A578F
opposite,27975
healthier,FFB300
understanding,FD0100
several,273E67
thrown,FF7F1C
touched,FFB200
jumping,F3026D
passionate,73207C
rising,2E9127
bound,FED73C
discouraged,17977
four,FFB300
bloody,017C8C
fallen,1B2958
offended,84892
willing,FF4B02
independent,187429
insulted,99CF15
spinning,043F69
unsure,FFD93C
born,F30157
likely,992F93
business,196C62
semi,73207C
melancholy,FE9901
pregnant,FFFF4F
daily,3A4AA1
touching,B2DB11
earlier,273E67
aware,FE9901
painful,F44387
hearing,034E6D
experienced,11581C
potential,FD9927
staring,273E67
tied,FDBF2C
luckiest,4E5F7B
generous,41B3BD
led,FDD93B
fading,73207C
nasty,263F67
surrounded,FF1A00
damned,FB9A27
immense,A5238D
